Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6718272,The Master and Margarita,Mikhail Bulgakov,"Bulgakov, Mikhail",,,,0,Vintage Books,Paperback,445,2004,1925,,3/8/2026,to-read,to-read (#82),to-read,,,,0,0
100834,"A World Undone: The Story of the Great War, 1914 to 1918",G.J. Meyer,"Meyer, G.J.",,553803549,9.78055E+12,0,Delacorte Press,Hardcover,704,2006,2006,,2/8/2026,to-read,to-read (#81),to-read,,,,0,0
157993,The Little Prince,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",Richard Howard,152023984,9.78015E+12,2,"Harcourt, Inc.",Hardcover,96,2000,1943,31/7/2026,16/2/2023,,,read,,,,1,0
899492,The Tell-Tale Heart,Edgar Allan Poe,"Poe, Edgar Allan",Byron Glaser,871917726,9.78087E+12,5,Creative Education,Library Binding,31,1980,1843,,27/5/2024,,,read,,,,1,0
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,,,3,Vintage,Paperback,512,2015,2011,31/7/2026,25/2/2022,,,read,,,,1,0
149075,The Nine Billion Names of God,Arthur C. Clarke,"Clarke, Arthur C.",,451147553,9.78045E+12,4,Ace,Mass Market Paperback,240,1974,1967,27/7/2026,27/7/2026,,,read,,,,1,0
172366,The Library of Babel,Jorge Luis Borges,"Borges, Jorge Luis","Erik Desmazieres, Andrew Hurley, Angela Giral",156792123X,9.78157E+12,2,David R Godine Pub,Hardcover,36,2000,1941,29/7/2026,29/7/2026,,,read,,,,1,0
97059,The Courage to Teach: Exploring the Inner Landscape of a Teacher's Life,Parker J. Palmer,"Palmer, Parker J.",,787910589,9.78079E+12,0,Jossey-Bass Inc Pub,Hardcover,224,1997,1997,,29/7/2026,to-read,to-read (#80),to-read,,,,0,0
573009,How Children Fail (Classics in Child Development),John C. Holt,"Holt, John C.",,201484021,9.7802E+12,0,Balance,Paperback,320,1995,1964,,29/7/2026,to-read,to-read (#79),to-read,,,,0,0
4808763,The Last Question,Isaac Asimov,"Asimov, Isaac","Bob E. Flick, Jim Gallant",1884214495,9.78188E+12,5,Ziggurat Productions,Audio CD,9,2007,1956,27/7/2026,27/7/2026,,,read,"Absolutely brilliant, still so relevant It makes me wonder can an intelligence that reaches this level be called divine in the end?",,,1,0
17448036,The Unreasonable Effectiveness of Mathematics in the Natural Sciences,Eugene P. Wigner,"Wigner, Eugene P.",,,,3,,Unknown Binding,16,1959,1959,25/7/2026,25/7/2026,,,read,Math should be considered an art form ,,,1,0
31951519,The Usefulness of Useless Knowledge,Abraham Flexner,"Flexner, Abraham",Robbert Dijkgraaf,691174768,9.78069E+12,4,Princeton University Press,Hardcover,104,2017,1939,26/7/2026,26/7/2026,,,read,Curiosity will lead you to places ( hopefully the world asw ) ,,,1,0
35031085,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft",Charlotte  Gordon,143131842,9.78014E+12,5,Penguin Classics,Paperback,260,2018,1818,1/11/2024,10/10/2023,,,read,The fallen Angel becomes a malignant Devil yet even that enemy of God and man had friends and associates in his desolation; I am alone <br/>,,,1,0
9644,Why I Write,George Orwell,"Orwell, George",,143036351,9.78014E+12,3,Penguin Books,Paperback,120,2005,1946,27/7/2026,27/7/2026,,,read,,,,1,0
507583,"Precalculus Mathematics in a Nutshell: Geometry, Algebra, Trigonometry",George F. Simmons,"Simmons, George F.",,1592441300,9.78159E+12,5,Wipf & Stock Publishers,Paperback,128,2003,1981,27/7/2026,23/7/2026,,,read,"Wow, just wow. I have always struggled with understanding the concepts of trigonometry and I just remembered it after 10th grade. Even in engineering | just remembered everything. I thought that's how things were but this book just opened up a new dimension for me. The things I just memorised made sense now especially trigonometry. IT made me fall in love with this beautiful subject yet again👌🏻",,,2,0
27220736,Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,"Knight, Phil",,1501135910,9.7815E+12,0,Scribner,Hardcover,400,2016,2016,,25/2/2022,did-not-finish,did-not-finish (#5),did-not-finish,,,,0,0
9877003,Alex's Adventures in Numberland,Alex Bellos,"Bellos, Alex",,1526623994,,0,Bloomsbury,Kindle Edition,449,2010,2010,,29/3/2026,did-not-finish,did-not-finish (#4),did-not-finish,,,,1,0
214441,Euclid's Elements,Euclid,"Euclid, Euclid","Dana Densmore, Thomas Little Heath",1888009195,9.78189E+12,0,Green Lion Press,Paperback,529,2002,-290,,16/7/2026,to-read,to-read (#78),to-read,,,,0,0
18774964,A Man Called Ove,Fredrik Backman,"Backman, Fredrik",Henning Koch,1476738017,9.78148E+12,0,Atria Books,Hardcover,337,2014,2012,,11/2/2023,did-not-finish,did-not-finish (#3),did-not-finish,,,,0,0
199149672,The Yellow Wallpaper,Charlotte Perkins Stetson,"Stetson, Charlotte Perkins",,,9.79886E+12,3,Independently published,Paperback,33,2023,,,26/3/2026,,,read,,,,2,0
21,A Short History of Nearly Everything,Bill  Bryson,"Bryson, Bill",,076790818X,9.78077E+12,0,Crown,Paperback,544,2004,2003,,15/3/2022,did-not-finish,did-not-finish (#2),did-not-finish,,,,1,0
61439040,1984,George Orwell,"Orwell, George",Thomas Pynchon,452284236,9.78045E+12,0,Plume,Paperback,368,2022,1949,11/9/2025,16/2/2023,did-not-finish,did-not-finish (#1),did-not-finish,,,,2,0
2474084,"The Work of Art in the Age of Its Technological Reproducibility, and Other Writings on Media",Walter Benjamin,"Benjamin, Walter","Michael W. Jennings, Brigid Doherty, Thomas Y. Levin",674024451,9.78067E+12,0,Belknap Press: An Imprint of Harvard University Press,Paperback,448,2008,1936,,27/1/2026,to-read,to-read (#77),to-read,,,,0,0
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,,,3,Vintage International,Paperback,123,1989,1942,6/9/2025,2/9/2025,,,read,,,,1,0
24874322,The Life of a Stupid Man,Ryūnosuke Akutagawa,"Akutagawa, Ryūnosuke",Jay Rubin,141397721,9.78014E+12,0,Penguin Classics,Paperback,55,2015,1927,,26/5/2024,,,read,,,,1,0
53443339,"Troy (Stephen Fry's Great Mythology, #3)",Stephen Fry,"Fry, Stephen",,241424585,9.78024E+12,0,Michael Joseph,Hardcover,414,2020,2020,,28/5/2025,to-read,to-read (#76),to-read,,,,0,0
41433634,"Heroes: Mortals and Monsters, Quests and Adventures (Stephen Fry's Great Mythology, #2)",Stephen Fry,"Fry, Stephen",,241380375,9.78024E+12,0,Michael Joseph,Paperback,415,2018,2018,,28/5/2025,to-read,to-read (#75),to-read,,,,0,0
146635262,Khutbat By Maulana Abu ala Maududi,Maulana Abu ala Maududi,"Maududi, Maulana Abu ala",,,,0,islamic publications limited lahore,Paperback,0,2019,,14/5/2025,5/3/2025,,,read,,,,1,0
4312403,Muslim Civilization: The Causes of Decline and the Need for Reform,M. Umer Chapra,"Chapra, M. Umer",,860374610,9.78086E+12,2,The Islamic Foundation,Paperback,224,2010,2008,5/3/2025,4/2/2025,,,read,,,,1,0
826068,"Kashmir in Conflict: India, Pakistan and the Unending War",Victoria Schofield,"Schofield, Victoria",,1860648983,9.78186E+12,0,I. B. Tauris,Paperback,304,2003,2000,,25/2/2025,to-read,to-read (#74),to-read,,,,0,0
